name|addr|phone|delivery|king|night|breakfast|parking|dt|lng|lat
종로점|서울특별시 종로구 종로 94 |02-2285-4838|1|1|1|1|0|0|126.988087440713|37.5699451391001
종로구청점|서울특별시 종로구 삼봉로 57 |02-722-0238|1|1|0|0|0|0|126.980473808393|37.5725615164337
시청역점|서울특별시 중구 서소문로 136 |02-777-0332|1|1|0|0|0|0|126.97604290682|37.5635491216557
충무로역점|서울특별시 중구 퇴계로 216 |02-2285-0337|1|1|0|0|0|0|126.995813274893|37.5613345759958
회현역점|서울특별시 중구 퇴계로 52 티마크그랜드호텔 명동 1층 |070-7462-6807|1|1|0|0|0|0|126.978544421858|37.5584186963798
동국대점|서울특별시 중구 필동로1길 30 |02-2277-3006|0|1|0|0|0|0|126.998737605491|37.5589366401553
숭례문점|서울특별시 중구 세종대로 23 |02-777-8801|0|0|0|0|0|0|126.973844589811|37.5590909738298
서대문역점|서울특별시 중구 순화동 215 1층 |070-7462-6847|1|1|0|0|0|0|126.969654984929|37.5631527459053
혜화역점|서울특별시 종로구 동숭길 148 |070-7462-6726|1|1|0|0|0|0|127.002150195429|37.5835250574592
서울역점|서울특별시 용산구 한강대로 405 |02-392-2895|0|1|0|1|0|0|126.971732581232|37.5548375992165
신당역점|서울특별시 중구 다산로 258 |02-2253-0332|1|1|1|1|0|0|127.016623843671|37.5657948536437
약수역점|서울특별시 중구 다산로 142 |070-7438-8605|1|1|0|0|0|0|127.011753862419|37.5562755068924
노량진점|서울특별시 동작구 노량진로 169 |02-816-2176|1|1|0|0|0|0|126.944825413681|37.5140993439637
창동역점|서울특별시 도봉구 노해로 389 |070-7462-6839|1|1|0|0|0|0|127.051335609074|37.6527681735064
양평점|서울특별시 영등포구 선유로 130 |070-7462-6840|1|1|0|0|0|0|126.891376058936|37.5253785170391
쌍문점|서울특별시 도봉구 도당로 6 |02-997-0233|1|1|0|0|0|0|127.035371175956|37.6587118738827
연세로점|서울특별시 서대문구 연세로 25 |02-322-3669|1|1|1|1|0|0|126.936696112402|37.5578946120138
불광점|서울특별시 은평구 통일로 746 |02-383-0233|1|1|0|0|0|0|126.928942996302|37.6120090630277
종로점|서울특별시 종로구 종로 94 |02-2285-4838|1|1|1|1|0|0|126.988087440713|37.5699451391001
상암MBC점|서울특별시 마포구 성암로 255 |02-304-0335|1|1|0|0|0|0|126.89181859148|37.5802785107294
천호역점|서울특별시 강동구 천호대로 1012 |02-473-0331|1|1|0|0|0|0|127.124151797401|37.5380977789536
쌍문SK점|서울특별시 도봉구 도봉로 437 |02-904-0332|1|1|0|0|0|1|127.032158920343|37.6449722642179
압구정로데오점|서울특별시 강남구 압구정로46길 4 |02-3445-0332|1|1|0|0|0|0|127.036664312782|37.5283979765915
명일DT점|서울특별시 강동구 고덕로 168 |02-426-0332|1|1|0|0|0|1|127.144011308896|37.5544786253203
수유역점|서울특별시 강북구 도봉로 314 삼성화재 수유사옥 1층 |070-7462-6837|1|1|0|0|0|0|127.02417263596|37.6361179427387
선릉역점|서울특별시 강남구 선릉로 429 |02-3452-0377|1|1|0|0|0|0|127.049313250519|37.5032022121152
석촌점|서울특별시 송파구 송파대로 448 |02-424-6313|1|1|0|0|0|0|127.106385512845|37.5065967085732
대치역점|서울특별시 강남구 남부순환로 2936 |02-539-0332|1|1|0|0|0|0|127.06191661451|37.4933489108525
구로디지털점|서울특별시 구로구 디지털로 288 |02-857-0332|1|1|0|0|0|0|126.895502765348|37.4835695693308
종로구청점|서울특별시 종로구 삼봉로 57 |02-722-0238|1|1|0|0|0|0|126.980473808393|37.5725615164337
길동사거리점|서울특별시 강동구 양재대로 1440 |02-471-0332|1|1|1|1|0|0|127.139139380301|37.534388953741
서대문역점|서울특별시 중구 순화동 215 1층 |070-7462-6847|1|1|0|0|0|0|126.969654984929|37.5631527459053
문정점|서울특별시 송파구 송이로 239 |02-431-0332|1|1|1|1|0|0|127.131727143881|37.4880493688611
당산역점|서울특별시 영등포구 양평로 58 |02-2678-0332|1|1|0|0|0|0|126.900670131531|37.5350648932852
사당역점|서울특별시 동작구 동작대로 21 |02-583-0332|1|1|1|1|0|0|126.981362070757|37.4784816221514
몽촌토성점|서울특별시 송파구 백제고분로51길 30 |02-421-0332|1|1|0|0|0|0|127.112537076619|37.5169713837016
구로점|서울특별시 구로구 시흥대로 551 |070-7462-8527|1|1|0|0|0|0|126.900246298277|37.4825399425928
목동역점|서울특별시 양천구 오목로 238 |02-2602-0332|1|1|0|0|0|0|126.86394263991|37.5258922323904
충무로역점|서울특별시 중구 퇴계로 216 |02-2285-0337|1|1|0|0|0|0|126.995813274893|37.5613345759958
