code|lat|lng|storecd|name|addr|star
3762|37.501087|127.043069|1509|역삼아레나빌딩|서울특별시 강남구 언주로 425 (역삼동)|pin_general
3672|37.510178|127.022223|1434|논현역사거리|서울특별시 강남구 강남대로 538 (논현동)|pin_general
3858|37.514132|127.020563|1595|신사역성일빌딩|서울특별시 강남구 강남대로 584 (논현동)|pin_general
3669|37.499517|127.031495|1527|국기원사거리|서울특별시 강남구 테헤란로 125 (역삼동)|pin_general
3703|37.494668|127.062583|1468|스탈릿대치R|서울특별시 강남구 남부순환로 2947 (대치동)|pin_reserve
3912|37.515000|127.063196|1640|봉은사역|서울특별시 강남구 봉은사로 619 (삼성동)|pin_general
3893|37.5227934|127.0286009|1650|압구정윤성빌딩|서울특별시 강남구 논현로 834 (신사동)|pin_general
3897|37.510150|127.060275|1626|코엑스별마당|서울특별시 강남구 영동대로 513 (삼성동)|pin_general
3648|37.507750|127.060651|1438|삼성역섬유센터R|서울특별시 강남구 테헤란로 518 (대치동)|pin_reserve
3623|37.5273669|127.033061|1411|압구정R|서울특별시 강남구 언주로 861 (신사동)|pin_reserve
3588|37.488008|127.102650|1389|수서역R|서울특별시 강남구 광평로 281 (수서동)|pin_reserve
3604|37.485192|127.036685|1404|양재강남빌딩R|서울특별시 강남구 남부순환로 2621 (도곡동)|pin_reserve
3562|37.505321|127.050409|1355|선릉동신빌딩R|서울특별시 강남구 테헤란로 409 (삼성동)|pin_reserve
3564|37.511293|127.048409|1348|봉은사로선정릉|서울특별시 강남구 봉은사로 446 (삼성동)|pin_general
3483|37.502117|127.026672|1255|강남오거리|서울특별시 강남구 봉은사로2길 39 (역삼동)|pin_general
3467|37.50999|127.061455|1211|스타필드코엑스몰R|서울특별시 강남구 영동대로 513 (삼성동) 코엑스 A106호|pin_reserve
3397|37.518181|127.045995|1188|강남구청정문|서울특별시 강남구 학동로 419 (청담동)|pin_general
3496|37.492805|127.041309|1263|도곡공원|서울특별시 강남구 도곡로 205 (역삼동)|pin_general
3478|37.497711|127.028439|1258|강남R|서울특별시 강남구 강남대로 390 (역삼동)|pin_reserve
3315|37.498973|127.060172|1099|대치은마사거리|서울특별시 강남구 도곡로 457 (대치동)|pin_general
3370|37.522156|127.056449|1154|청담영동대로|서울특별시 강남구 영동대로 720 (청담동)|pin_general
3303|37.526283|127.029560|1084|압구정|서울특별시 강남구 압구정로30길 17 (신사동)|pin_general
3355|37.521852|127.022510|1159|신사가로수|서울특별시 강남구 가로수길 59 |pin_general
3366|37.525216|127.041827|1146|청담스타R|서울특별시 강남구 도산대로57길 24 (청담동)|pin_reserve
3346|37.492396|127.030910|1129|강남우성|서울특별시 강남구 강남대로 328 (역삼동)|pin_general
3171|37.52236449999999|127.03795430000002|991|학동사거리|서울특별시 강남구 도산대로 328 (논현동)|pin_general
3287|37.503331|127.058817|1062|대치사거리|서울특별시 강남구 삼성로 402 (대치동)|pin_general
3235|37.5075307|127.05742710000004|1038|포스코사거리|서울특별시 강남구 테헤란로 505 (삼성동) 화진빌딩|pin_general
3096|37.5191632|127.0286446|914|을지병원사거리|서울특별시 강남구 논현로 752 (논현동,구산빌딩)|pin_general
3048|37.5162021|127.0207428|863|신사역|서울특별시 강남구 도산대로 108 (논현동) 렉스타워|pin_general
3009|37.492167|127.057398|825|도곡역|서울특별시 강남구 남부순환로 2909 (대치동)|pin_general
9998|37.514887|127.035653|815|서울세관사거리|서울특별시 강남구 언주로 650 (논현동) 한국건설기술인협회|pin_general
9926|37.5236351|127.04686509999999|734|청담사거리|서울특별시 강남구 도산대로 458 (청담동) 리츠타워|pin_general
9883|37.496801|127.055055|687|한티역|서울특별시 강남구 도곡로 408, 디마크빌딩 101호 (대치동)|pin_general
9939|37.4941059|127.03299730000003|752|역삼초교사거리|서울특별시 강남구 역삼로 123 (역삼동)|pin_general
9933|37.513715|127.059245|744|코엑스몰|서울특별시 강남구 영동대로 513 (삼성동) 코엑스 O103호|pin_general
9861|37.5231593|127.02162499999997|672|가로수길|서울특별시 강남구 논현로175길 94, 1~2층 (신사동)|pin_general
9826|37.501623|127.039375|632|역삼대로|서울특별시 강남구 테헤란로 211, 한국고등교육재단빌딩 1층 (역삼동)|pin_general
9831|37.499721|127.033582|636|역삼포스코|서울특별시 강남구 테헤란로 134, P&S TOWER (역삼동)|pin_general
9824|37.50314|127.025546|630|강남대로|서울특별시 강남구 강남대로 456, 한석타워 2층 1-2호 (역삼동)|pin_general
9859|37.5243631|127.05155990000003|667|청담|서울특별시 강남구 도산대로 532, 인희빌딩 1층 (청담동)|pin_general
9835|37.5097863|127.05791339999996|643|삼성도심공항|서울특별시 강남구 테헤란로87길 33 (삼성동)|pin_general
